# timestamp download_time throughput avg_throughput requested_bitrate chunk_name
1741152326 0.0661 101.08 101.08 500 500Seg-init
1741152327 0.0790 709.48 161.92 10 10Seg1
1741152327 0.1458 2771.61 422.89 100 100Seg2
1741152327 0.1152 3402.23 720.82 100 100Seg3
1741152327 0.1165 3584.39 1007.18 100 100Seg4
1741152327 0.1531 9147.51 1821.21 500 500Seg5
1741152328 0.2627 14780.02 3117.09 1000 1000Seg6
1741152328 0.3511 12104.98 4015.88 1000 1000Seg7
1741152333 0.2150 17570.76 5371.37 1000 1000Seg8
1741152337 0.2416 16537.91 6488.02 1000 1000Seg9
1741152341 0.2557 14349.76 7274.20 1000 1000Seg10
1741152345 0.3338 11455.66 7692.34 1000 1000Seg11
1741152349 0.3121 12907.24 8213.83 1000 1000Seg12
1741152353 0.2904 13570.76 8749.52 1000 1000Seg13
1741152357 0.2367 17651.96 9639.77 1000 1000Seg14
1741152361 0.2626 12408.76 9916.67 1000 1000Seg15
1741152365 0.3029 12381.57 10163.16 1000 1000Seg16
1741152369 0.4856 8707.42 10017.58 1000 1000Seg17
1741152436 0.0692 576.54 127.26 10 10Seg18
1741152436 0.0563 961.45 210.68 10 10Seg19
1741152457 0.0581 729.93 109.11 10 10Seg20
1741152457 0.0620 691.34 167.33 10 10Seg21
1741152466 8.3220 45.80 31.96 100 100Seg22
1741152466 0.0800 589.66 87.73 10 10Seg23
1741152466 0.0787 543.72 133.32 10 10Seg24
1741152466 0.0519 938.47 213.84 10 10Seg25
1741152476 9.3829 42.00 27.25 100 100Seg26
1741152476 0.0817 586.29 83.15 10 10Seg27
1741152476 0.0613 748.92 149.73 10 10Seg28
1741152476 0.0573 858.46 220.60 10 10Seg29
1741152477 41.2094 11.03 133.95 100 100Seg20
1741152477 1.1817 351.25 155.68 100 100Seg30
1741152477 62.2717 56.79 145.79 1000 1000Seg18
1741152477 0.1277 2999.49 431.16 100 100Seg31
1741152479 106.7547 33.13 318.76 1000 1000Seg18
1741152480 85.9131 41.16 291.00 1000 1000Seg18
1741152480 0.1184 3206.44 582.54 100 100Seg32
1741152484 0.1129 3216.19 845.91 100 100Seg33
1741152488 0.2336 9032.71 1664.59 500 500Seg34
1741152493 0.2885 13959.26 2894.05 1000 1000Seg35
1741152497 0.2420 17876.34 4392.28 1000 1000Seg36
1741152501 0.2461 13444.06 5297.46 1000 1000Seg37
