# timestamp download_time throughput avg_throughput requested_bitrate chunk_name
1741148380 0.0334 1427.36 1427.36 10 10Seg2
1741148381 0.2822 6470.72 4453.38 500 500Seg3
1741148381 0.1846 22493.41 15277.40 1000 1000Seg4
1741148382 0.3638 8927.03 11467.17 1000 1000Seg5
1741148382 0.3122 12434.95 12047.84 1000 1000Seg6
1741148383 0.1569 27095.50 21076.44 1000 1000Seg7
1741148383 0.2006 18830.02 19728.59 1000 1000Seg8
1741148384 0.1852 21575.17 20836.53 1000 1000Seg9
1741148384 0.1584 23164.87 22233.54 1000 1000Seg10
1741148384 0.2909 13144.69 16780.23 1000 1000Seg11
1741148385 0.2910 13841.70 15017.11 1000 1000Seg12
1741148387 0.3315 11889.58 13140.59 1000 1000Seg13
1741148391 0.6560 6370.41 9078.48 1000 1000Seg14
1741148395 0.4590 7098.25 7890.34 1000 1000Seg15
1741148399 0.4306 8709.71 8381.97 1000 1000Seg16
1741148435 11.0554 37.27 241.69 100 100Seg17
1741148445 9.9560 38.26 119.63 100 100Seg18
1741148445 0.0749 723.00 481.65 10 10Seg19
1741148457 11.4741 39.62 216.44 100 100Seg20
1741148464 7.2334 46.35 114.38 100 100Seg21
1741148464 0.1233 402.27 287.11 10 10Seg22
1741148476 11.2377 36.93 137.00 100 100Seg23
1741148476 0.0626 683.79 465.07 10 10Seg24
1741148487 11.5510 36.19 207.74 100 100Seg25
1741148496 8.6210 45.71 110.52 100 100Seg26
1741148496 0.0712 672.47 447.69 10 10Seg27
1741148505 8.3690 45.81 206.56 100 100Seg28
1741148515 10.2892 41.97 107.81 100 100Seg29
1741148515 0.0714 710.40 469.36 10 10Seg30
1741148524 8.8720 43.18 213.65 100 100Seg31
1741148533 8.6704 43.77 111.72 100 100Seg32
1741148533 0.0911 492.03 339.91 10 10Seg33
1741148544 11.1586 38.44 159.03 100 100Seg34
1741148556 11.6306 35.99 85.20 100 100Seg35
1741148556 0.1156 485.37 325.31 10 10Seg36
1741148565 8.5765 39.08 153.57 100 100Seg37
1741148576 11.8577 36.18 83.14 100 100Seg38
1741148577 0.0674 737.13 475.53 10 10Seg39
1741148586 9.8449 34.63 210.99 100 100Seg40
1741148590 187.5642 22.54 97.92 1000 1000Seg17
1741148598 11.8357 38.60 62.33 100 100Seg41
1741148599 0.0849 484.22 315.46 10 10Seg42
1741148610 11.3398 37.51 148.69 100 100Seg43
1741148610 0.0587 853.22 571.41 10 10Seg44
1741148618 7.9532 52.88 260.29 100 100Seg45
1741148619 0.2032 2190.18 1418.23 100 100Seg46
1741148619 0.1469 14410.18 9213.40 500 500Seg47
1741148619 0.1295 19879.82 15613.25 1000 1000Seg48
1741148620 0.2346 20011.87 18252.43 1000 1000Seg49
1741148620 0.2530 12401.10 14741.63 1000 1000Seg50
1741148621 0.5380 7143.07 10182.50 1000 1000Seg51
1741148622 0.3812 10112.86 10140.71 1000 1000Seg52
1741148626 0.4697 9649.59 9846.04 1000 1000Seg53
1741148630 0.4859 7760.88 8594.94 1000 1000Seg54
1741148634 0.3981 8939.91 8801.92 1000 1000Seg55
1741148637 0.2732 10839.49 10024.46 1000 1000Seg56
1741148642 0.5771 7240.33 8353.99 1000 1000Seg57
1741148646 0.5023 6801.05 7422.22 1000 1000Seg58
